,hexcode,decimal,Unicode name,CLDR English name,major shortname,localsrc, char
1f554,128340,clock face five oclock, , ,,🕔
1f555,128341,clock face six oclock, , ,,🕕
1f556,128342,clock face seven oclock, , ,,🕖
1f557,128343,clock face eight oclock, , ,,🕗
1f558,128344,clock face nine oclock, , ,,🕘
1f559,128345,clock face ten oclock, , ,,🕙
1f55a,128346,clock face eleven oclock, , ,,🕚
1f55b,128347,clock face twelve oclock, , ,,🕛
1f5fb,128507,mount fuji, , ,fuji,🗻
1f5fc,128508,tokyo tower, , ,tower,🗼
1f5fd,128509,statue of liberty, , ,,🗽
1f5fe,128510,silhouette of japan, , ,map,🗾
1f5ff,128511,moyai, , ,figure,🗿
1f601,128513,grinning face with smiling eyes, , ,face31,😁
1f602,128514,face with tears of joy, , ,face27,😂
1f603,128515,smiling face with open mouth, , ,face1,😃
1f604,128516,smiling face with open mouth and smiling eyes, , ,,😄
1f605,128517,smiling face with open mouth and cold sweat, , ,,😅
1f606,128518,smiling face with open mouth and tightlyclosed eyes, , ,,😆
1f609,128521,winking face, , ,wink,😉
1f60a,128522,smiling face with smiling eyes, , ,face21,😊
1f60b,128523,face savouring delicious food, , ,,😋
1f60c,128524,relieved face, , ,face14,😌
1f60d,128525,smiling face with heartshaped eyes, , ,face6,😍
1f60f,128527,smirking face, , ,face8,😏
1f612,128530,unamused face, , ,face18,😒
1f613,128531,face with cold sweat, , ,face7,😓
1f614,128532,pensive face, , ,face9,😔
1f616,128534,confounded face, , ,face12,😖
1f618,128536,face throwing a kiss, , ,face23,😘
1f61a,128538,kissing face with closed eyes, , ,face22,😚
1f61c,128540,face with stuckout tongue and winking eye, , ,kidding,😜
1f61d,128541,face with stuckout tongue and tightlyclosed, , ,,😝
1f61e,128542,disappointed face, , ,,😞
1f620,128544,angry face, , ,face2,😠
1f621,128545,pouting face, , ,face26,😡
1f622,128546,crying face, , ,face29,😢
1f623,128547,persevering face, , ,face11,😣
1f624,128548,face with look of triumph, , ,face10,😤
1f625,128549,disappointed but relieved face, , ,,😥
1f628,128552,fearful face, , ,face15,😨
1f629,128553,weary face, , ,face28,😩
1f62a,128554,sleepy face, , ,face13,😪
1f62b,128555,tired face, , ,face4,😫
1f62d,128557,loudly crying face, , ,face3,😭
1f630,128560,face with open mouth and cold sweat, , ,face20,😰
